datetime,tweet
2022-03-31 20:04:41,@UniversalCandid @KnowingFaithPod @AllIThinkAbout5 @Jacquiecharles @NCCChaplain @1DavidClarke Dig what these AMBER ALERT Organization phone callers have been doing whenever someone tries to give the information concerning childstealing in the California Juvenile Courts System. They always want to PROTECT THE JUDGES who are kidnapping kids for money and other things! https://t.co/aWP3kFALKI
2022-03-31 20:03:20,Washington Gov. Jay Inslee on Thursday signed into law a bill that creates a first-in-the-nation statewide alert system for missing Indigenous people. The law creates a system similar to Amber Alerts and so-... https://t.co/s6l06VHtxY
2022-03-31 20:02:32,"@itsvangoth If someone tells you who they are, listen. There was a queen named “Amber Alert” at a local drag fest and someone looked up her background and they had some creepy shit with a minor on their record 😐🤢"
2022-03-31 20:01:05,"The law creates a system similar to Amber Alerts and so-called silver alerts, which are used respectively for missing children and vulnerable adults in many states. https://t.co/ovJyrem7yM"
2022-03-31 19:56:43,"Washington Gov. Jay Inslee has signed into law a bill creating a first-in-the-nation statewide alert system for missing Indigenous people. It's similar to Amber Alerts and silver alerts, used for missing children and vulnerable adults in many states.  https://t.co/bc0YZEtJCe"
2022-03-31 19:40:50,Then she jus asked me to smoke w her ‘ amber alert yall
2022-03-31 19:40:13,"Washington Governor Jay Inslee has signed SHB1725 into law. 

The bill creates an alert system when an Indigenous person goes missing in Washington, working similarly to a Silver or Amber Alert. It is believed to the first of its kind in the U.S. https://t.co/mYvnrQGNfM"
2022-03-31 19:40:08,@SleuthieGoosie I also can’t wrap my head around her and T still being so dumbfounded as to why Monkey didn’t get an amber alert🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ no sign of abduction = no amber alert what part are they not understanding at this point ughh 😩
2022-03-31 19:32:31,Y’all talk about fashion novas sms text but UNICE be sending out messages like it’s an amber alert like Omg
2022-03-31 19:21:51,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert https://t.co/NXAAYpX3VE https://t.co/yFMrPEfEgv"
2022-03-31 19:08:48,"@WFRVLocal5 My 9yr old son (who is indigenous) was kidnapped at the time couldn't even get a amber alert from shawano County, the just had to tell the County sheriff Bieber to take Report, Bieber still would issue a amber alert.. so I know!"
2022-03-31 18:55:17,"@chronicleherald Does everyone understand that the alert ready system has never been used in the history of Canada by any police force to alert the public of danger or crimes in progress, NEVER. It is run by the EMO &amp; is used for weather alerts and only 2 amber alerts in NS."
2022-03-31 18:52:01,"Thank you @GlobalBC for taking the time to share this important public safety message. Remember: during an Amber Alert, only dial 9-1-1 if you are experiencing an emergency, or have critical info to report. #911BC https://t.co/ZTixp1lUnO"
2022-03-31 18:33:19,"@Kev_MacD @CityNewsVAN So. To summarize. If you knew an unvaccinated Conservative voting Freedom protesting, Dodge Ram pickup driver called in to 911 to complain about an Amber Alert, your head might actually explode right? 🤭"
2022-03-31 18:27:09,"Y’all I got Chihuahua in my neighborhood that stay on amber alert…. Like they stay looking for lil Frances and it’s beyond me.😂 
Like I think she makes a run for it every time they open the front door …"
2022-03-31 18:17:14,@theprovince This is sad.  Where was the amber alert for this?  Missing for 2 weeks!! Why isn’t there alerts about this little girl missing?
2022-03-31 17:52:33,https://t.co/P7RnBJZkaX Franklin toddler found safe after AMBER Alert; non-custodial father still at large - WKRN News 2 https://t.co/34Urf3bMm0
2022-03-31 17:47:12,"@CityNewsVAN What kind of socially inept twerp calls 911 to complain about an Amber Alert on their phone. Seriously, people."
2022-03-31 17:42:31,"@IHasAss Scared the life out of me, I thought I got an amber alert for ME"
2022-03-31 17:20:15,@frideswyth So in physical proximity but still having your psych barriers up/amber alert? Maybe a good way to handle it/skill to have.
2022-03-31 16:41:45,"Amber Alerts are sent out through an emergency alert system to all Canadians through mobiles, TV, radio; asking for the public's assistance with the safe and quick return of an abducted child. Can we do similar to stop abduction incidents in India? @ArvindKejriwal @BhagwantMann"
2022-03-31 16:28:08,"@aero0_0 thank god. sent this picture to law enforcement, amber alert coming shortly"
2022-03-31 16:25:09,"@sir_jabbers @BigGuyR1 @CityNewsVAN I wasn’t checking my phone while driving, it was going nuts while I had GPS guiding me where to go. Perhaps the powers that be could make our devices scream “AMBER ALERT” or some other way to do distinguish between an earthquake/tsunami/missile."
2022-03-31 16:02:59,"@alandrummond2 Maybe in cases MD are more appropriate coroners to investigate ex: deaths in hospitals, prison, long term care).From what I studied, when a lawyer investigates more “legal” events (child death after an amber alert, police involvement) their expertise helps. ANW very interesting🤔"
2022-03-31 16:01:23,Near to @CrystalGalny’s heart — she is on the Amber Alert Brazos Valley board and they’ve put this together at the new Big Shots in Bryan — good times for a great cause: https://t.co/KeaQeeWzMC
2022-03-31 16:00:01,"🍺BEER ALERT🍺 Stop in for a pint of Keller Brau, a rustic amber lager brewed with a special Isaria 1924 Barley malt. Also features Mittelfruh and Spalt hops. AbV 5.0%, 23 IBUs #thirstythursday https://t.co/Yc2r2jX1G6"
2022-03-31 15:56:35,@CityNewsVAN The Amber Alert worked. Don't call 911 to complain call your MLA or police non-emergency line.
2022-03-31 15:51:03,Link - Tennessee AMBER Alert: Signs of Grooming for Parents https://t.co/b6fse87v0F https://t.co/ILTOZ3cB3M
2022-03-31 15:49:56,@JCanucklehead @CityNewsVAN Because they managed to travel from northern BC all the way to were they were found in Ontario. That's like the entire length of the country and they could have been anywhere in between. Hence the large amber alert
2022-03-31 15:36:48,"@bbart76 If it merely becomes publicity for a custody battle between the North American Plate and the Pacific Plate, then it’ll be just as annoying and ineffective as the Amber Alert."
2022-03-31 15:08:40,WPD officers attended the Northeast Ohio AMBER Alert conference last week to learn the latest on keeping our kids safe.    A big part is online safety.  TALK TO YOUR KIDS ABOUT WHAT THEY ARE DOING ONLINE.  https://t.co/hf67YXPvTR for additional resources.#startTheConversation https://t.co/RKpnB1sjBA
2022-03-31 15:07:13,"This would be great for Utah. They are already using these alerts in California, Oregon, and Washington. You have to think of them as an alert &amp; not a prediction &amp; I wish they wouldn’t have equated it to the amber alert system. https://t.co/qOXU9zaOP2"
2022-03-31 15:07:07,@BBQJim1 @CityNewsVAN Hmmm how often does it happen to you?  Mine has gone off maybe 5 times.... including test warnings.  An amber alert is only issued when a child goes missing that is in serous danger.
2022-03-31 14:56:49,@Tarnjitkparmar Right??? I cannot comprehend why people complain about an Amber Alert!!?? If it can save a child's life! Some people... https://t.co/AjF8GP6L4B
2022-03-31 14:17:30,"Lovely. On a yellow alert for violent winds and snow. 500m north, into Orne and it's an amber alert for violent winds and snow. How thankful am I for those 500m!! 

🤪🤣"
2022-03-31 14:15:52,In September last year I was getting off a flight and got this scary ass amber alert https://t.co/YJwi9RIgmh
2022-03-31 14:09:00,"ICYMI, @utahgeological is looking at implementing a system that's like an AMBER Alert for earthquakes — warning us of an imminent quake: https://t.co/gWs5guqax4 @fox13 #utpol #Utah https://t.co/lkYdHSOfJb"
2022-03-31 13:40:16,Missing kids be breaking my fucking heart man n if I ever saw an amber alert kid I’m ridin like it’s my kid. My heart finna get me killed one day. I’m good tho
2022-03-31 13:39:19,"There has been actions underway to erase ""offensive"" indigenous words from the english language, such a squaw and redman.  Now, Washington State has established ""Red Thunder"" alert, similar to an Amber Alert.  So, by state law, indigenous peoples in Washington are officially red."
2022-03-31 13:36:06,"@wk057 When there is an Amber or Silver alert (for a missing child or senior), the suspect vehicle license plate and description is sent to all Teslas. Then each Tesla’s vision system looks for that vehicle and transmits GPS coordinates to Tesla/law enforcement. 

@elonmusk @tesla"
2022-03-31 12:34:29,@ItsHammerTimeII Kind of blew me away when I heard she works in California now in the Amber Alert offices.
2022-03-31 11:06:19,In Canada people often call 911 to complain when they receive a Wireless Emergency Alert. This does not happen to any great extent in US. What is it about public messaging in Canada that prompts citizens to do this? https://t.co/OjhySV1hp9
2022-03-31 10:27:59,"I didn’t hear a tornado siren last night, but my phone sure as fuck went off like a damn amber alert telling me there was a tornado warning. Like damn if it takes me out while I’m asleep that’s best case scenario! Let me sleep apple"
2022-03-31 09:00:06,"B.C.'s 9-1-1 call takers say Saturday's Amber Alert prompted a lot of tips, but also people calling the emergency line to complain about the mid-day alert's noise
https://t.co/zV4fWfM3ke https://t.co/NgnCosXspp"
2022-03-31 07:54:58,"@RosemaryWuckert @RiseUp_2 @FBI_Washington @StephenKing @GrandCanyonNPS @MichStatePolice @MichiganHHS @michigandaily @Local4News My two kids were stolen over two years ago when they were kidnapped in San Diego California, and every time I try to get my info to the AMBER ALERT and other U.S. Attorney women who know me and don't give someone else to help me and my kids, we're being DENIED OUR RIGHTS AGAIN!"
2022-03-31 06:34:47,"🚨ACTIVE AMBER ALERT: Summer Moon-Utah Wells. If you have seen Summer or have any information regarding her whereabouts, call Hawkins County Sheriff's Office at 423-272-7121 or the TBI at 1-800-TBI-FIND.🚨

 https://t.co/TUbjOVM5v2"
2022-03-31 06:28:57,"Suspect from Fort St. John arrested after Amber Alert issued, released from police custody and ‘won’t be facing charges’
#PeaceRegion #AmberAlert

https://t.co/eUjplmaMzc"
2022-03-31 06:20:00,"@maxfoxxes ew, Amber alert"
2022-03-31 06:11:09,"i hate the emergency weather statement noise it makes me cry everutime, it makes me paranoid because thats the amber alert sounds and i always thought i was next, i always was convinced they were coning 4 me. it just scares me a lot https://t.co/7ENgKJzv71"
2022-03-31 05:27:32,"@papayatomodachi @IAmMoniqueHeart Amber Alert is 7 years old now (she was born on March 20, 2015) 😂"
2022-03-31 04:37:48,"@NyteSong @BYounger13 It's bad. Not only that, she changed her name when she came back to the states. Laura Gayler...she now works as the VP of marketing for Alert sense, which is basically part of the amber alert system. Baaaad stuff happening."
2022-03-31 04:36:34,"She said, “so I got an amber alert, that there’s a tornado around..” https://t.co/zjs043AfCx"
2022-03-31 03:52:16,I remember I got an amber alert and I immediately stopped what I was doing to go save the kid 🤷🏾‍♂️ y’all just lazy
2022-03-31 03:41:46,"@CityNewsVAN I didn't even end up READING the Amber alert because I was with my relatives, the noise was sooooo loud and I wanted the noise to stop so I could focus on what I was reading. My aunt read it to us, once everybody's ears had been assaulted."
2022-03-31 03:39:25,imma make em drop an amber alert when i drop my ep
2022-03-31 03:38:44,"WATCH: Suspect from Fort St. John arrested after Amber Alert issued, released from police custody and ‘won’t be facing charges’
#PeaceRegion #AmberAlert 

https://t.co/C59sZNhzpQ"
2022-03-31 03:38:15,"I saw an Amber Alert about an hour ago, asking for the public's help with any information leading to the location of Kevin Sorbo's career."
2022-03-31 03:37:12,"Missing in Colorado!! So far no amber alert that I've seen.

@Nerdy_Addict  @JJONEZ2016 @MissingMissfits 

https://t.co/OfdOHdtzC4"
2022-03-31 03:36:16,"@ksorbs There was an Amber Alert out in your neighborhood last night, asking the public for any information leading to the location of your career."
2022-03-31 03:17:29,"Amber alert ⚠️⚠️⚠️⚠️☢☣ you wont be disappointed check my homie out @Mikapiikaa666 
https://t.co/yHqIDLxSKN for a sneak peek and her only hams https://t.co/B4oQavBpYR"
2022-03-31 03:01:38,"@HoneyBe22025618 I made one of these years ago, when the Clinton's bailed out child trafficker Laura Silsby. She then changed her name and got a prominent job with Amber Alert. https://t.co/ivWXxW1uBE"
2022-03-31 02:58:26,"People who complain about Amber alerts deserve a special place in hell.
B.C. 911 call takers field weekend Amber Alert complaints https://t.co/0BU9MFYvSo"
2022-03-31 02:55:19,"@tonygoldmark Don't want to sound like a sociopath, but they'd better not come crying to me when their kid becomes the next AMBER Alert message..."
2022-03-31 02:41:48,"@podbeancom We do themed months @cruelteapod and next month is true crime cases that changed history like the amber alert, 911 calling system, Miranda rights, etc. vvvv excited! @LillianAsterios"
2022-03-31 02:32:42,@notafan_jo @EvolvingWild I think they have been kidnapped!!! *Sends out amber alert*
2022-03-31 02:14:02,Who calls 911 to complain about an amber alert?  😡😡 https://t.co/k2hQOtRkun
2022-03-31 02:10:33,"Ugh, an amber alert for a diff opportunity."
2022-03-31 02:09:00,.@utahgeological is looking at implementing a system that's like an AMBER Alert for earthquakes — warning us of an imminent quake: https://t.co/gWs5guqax4 @fox13 #utpol #Utah https://t.co/n5VPbIfCxl
2022-03-31 01:59:06,"@NahBabeeNah Silsby worked for amber alert, didn't she?"
2022-03-31 01:50:38,Every time I use my face to unlock my phone it sends out an Amber alert!
2022-03-31 01:29:08,"Tips, Questions, Complaints: Spike In 911 Calls During B.C. Amber Alert   https://t.co/AIwuR6v5S4"
2022-03-31 01:24:22,"Amber Alert - HAVE U SEEN ME 👉🏿  C-SUITE White always RIGHT a PRESTIGIOUS grad Mr. Know it All, the Alpha Mega Figa Blaka Craka Succa Fart House IVY League always sat in front of the classroom collecting all the gold stars UNO student JD by the BAR debate forfeiter against #K12er"
2022-03-31 01:24:14,Ain’t talkin bout amber but we on alert 😤
2022-03-31 01:18:25,@GlobalBC The fact that people even complain about an Amber Alert disgusts me 🤦🏼‍♀️ Then to call 911 about it just blows my mind
2022-03-31 00:53:12,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert https://t.co/J3ny8XOpvj"
2022-03-31 00:52:38,I’m about to issue an amber alert for my glasses and my contacts
2022-03-31 00:52:03,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert  
#123INFO
https://t.co/Vdl5hjbbjd"
2022-03-31 00:44:02,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert   https://t.co/g0u6zzYrYi https://t.co/3P22Lcc3nM"
2022-03-31 00:41:49,"@CityNewsVAN More like why were we getting an Amber Alert about some abduction 1,200 miles away? Then the suspects get collared in Ontario? The whole thing makes no sense."
2022-03-31 00:41:34,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert    | https://t.co/H95bFwne6X https://t.co/t1KNfPMUZf"
2022-03-31 00:41:28,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert    | https://t.co/OuUuve9czs https://t.co/aEknfUjHCD"
2022-03-31 00:41:20,"Tips, questions, complaints: Spike in 911 calls during B.C. Amber Alert    | https://t.co/rRnm0vo3IB https://t.co/VYeh7mpWhN"
2022-03-31 00:28:57,"B.C. 911 call takers field weekend Amber Alert complaints - via @News1130 https://t.co/Y6Cn6DChxl. THIS IRRITATES ME SO MUCH, THAT PEOPLE WOULD COMPLAIN. GET A LIFE, WHAT IF IT WAS YOUR CHILD OR CHILDREN"
2022-03-31 00:26:40,"@CityNewsVAN I can’t believe people are complaining.
The amber alert system is asking you to keep your eyes open for a reason: To FIND A CHILD. Doesn’t matter the distance. If someone has abducted a child in a vehicle, they can make it pretty far in a short amount of time."
2022-03-31 00:12:59,"How do you create an Amber alert for the 'Republican party principles', they seem to be missing"
2022-03-31 00:11:52,@geekwisdom74 @BookerSparticus Amber alert? You must have me confused for a republican.
2022-03-31 00:11:41,Ima make the amber alert sound my mama ringtone on her phone because I’m so tired of her saying she ain’t hear it. Like ok ima make sure you do 😌
2022-03-31 00:01:48,"@Schism_Games @BookerSparticus You sound really pissed off. Is this a ""pissed off because I just heard the amber alert and have to change cars"" pissed off?"
